"text","risk_level","clause_type","one_sided","jurisdiction","contract_type","notes"
"SECTION 4 – PAYMENT","neutral","administrative","false","UK","JCT","Contract section heading."
"In accordance with industry practice, the Contractor shall comply with all applicable laws, regulations and permit conditions throughout the Contract.","low","regulatory","false","ZW","FIDIC","General regulatory compliance; standard obligation."
"The parties agree that the Contractor shall execute the Works in accordance with the Contract and the Engineer's instructions.","low","administrative","false","ZW","FIDIC","Fundamental contractor obligation; standard."
"Without limiting the generality of the foregoing, the Employer's obligation to provide information on time is a condition precedent to the Contractor's obligation to maintain the programme; late information shall entitle the Contractor to an extension of time.","opportunity","delay","false","UK","JCT","Information provision as condition precedent; strong protection where employer delays drawings or instructions."
"In accordance with industry practice, the Employer may withhold payment of any amount due pending resolution of any dispute, without serving a pay less notice.","high","payment","true","UK","NEC4","Payment withholding without pay less notice undermines NEC4's payment transparency mechanisms."
"Without limiting the generality of the foregoing, a compensation event is not notified if the Employer or the Contractor did not give an early warning of the event when they could have done so.","medium","delay","true","UK","NEC4","Mutual early warning obligation; applies to both parties but in practice limits contractor CEs."
"SECTION 10: TERMINATION","neutral","administrative","false","ZW","bespoke","Termination section heading."
"Without limiting the generality of the foregoing, the Architect's decision on any matter concerning the quality or quantity of the Works shall be final and binding and shall not be subject to review in any dispute resolution proceedings.","high","dispute","true","UK","JCT","Ousts contractor's right to challenge Architect's decisions; contrary to HGCRA principles."
"Minimum chargeable hrs is 144 hrs per month.","high","payment","true","ZW","bespoke","Clause creates significant risk for subcontractor; one-sided in favour of contractor/employer."
"For the avoidance of doubt, the Contractor shall retain the right to remove from Site any equipment, materials and temporary works paid for by the Contractor at any time.","opportunity","payment","false","ZW","bespoke","Retention of title and removal right; protects contractor's assets against employer default."
"Subject to the terms of this Contract, the Contractor shall provide product warranties from all specialist suppliers in the Employer's name for a minimum of 10 years.","medium","warranty","false","UK","JCT","Third-party warranty assignment obligation; requires supplier co-operation."
"The parties agree that any amounts due to the Contractor may be set off against any claim the Employer may have against the Contractor under any other contract between the parties.","high","payment","true","ZW","bespoke","Cross-contract set-off right; allows employer to use disputes on other contracts to withhold current payments."
"The parties agree that the Contractor shall submit a cashflow forecast with each payment application to assist the Employer with funding arrangements.","medium","payment","false","ZW","bespoke","Cashflow forecasting obligation; transparent but creates administrative burden."
"Notwithstanding any other provision, the Contractor shall comply with all applicable laws and regulations in carrying out the Works.","low","regulatory","false","UK","JCT","General compliance obligation; standard and uncontroversial."
"In accordance with industry practice, where changes in Laws after the Base Date increase the Contractor's Costs, the Contract Price shall be adjusted accordingly.","opportunity","regulatory","false","ZW","FIDIC","Change-in-law risk on employer; contractor protected from sovereign risk after Base Date."
"It is hereby agreed that the Architect shall issue Interim Payment Certificates at the intervals stated in the Contract Particulars, and the Employer shall pay within 14 days of the due date.","low","payment","false","UK","JCT","Clear payment timeline; HGCRA compliant."
